d band center is: -2.51040355551501 eV
energy      spin1_O                   spin2_O                   spin1_Cu                   spin2_Cu
-9.997     0.012556290               0.012556290               0.000768940               0.000768940               
-9.987     0.011496337               0.011496337               0.000740256               0.000740256               
-9.977     0.009519613               0.009519613               0.000661752               0.000661752               
-9.967     0.006206969               0.006206969               0.000458692               0.000458692               
-9.957     0.002754326               0.002754326               0.000207282               0.000207282               
-9.947     0.000748825               0.000748825               0.000054832               0.000054832               
-9.937     0.000109963               0.000109963               0.000007722               0.000007722               
-9.927     0.000007478               0.000007478               0.000000510               0.000000510               
-9.917     0.000000201               0.000000201               0.000000013               0.000000013               
-9.907     0.000000000               0.000000000               0.000000000               0.000000000               
-9.897     0.000000000               0.000000000               0.000000000               0.000000000               
-9.887     0.000000000               0.000000000               0.000000000               0.000000000               
-9.877     0.000000000               0.000000000               0.000000000               0.000000000               
-9.867     0.000000000               0.000000000               0.000000000               0.000000000               
-9.857     0.000000000               0.000000000               0.000000000               0.000000000               
-9.847     0.000000000               0.000000000               0.000000000               0.000000000               
-9.837     0.000000000               0.000000000               0.000000000               0.000000000               
-9.827     0.000000000               0.000000000               0.000000000               0.000000000               
-9.817     0.000000000               0.000000000               0.000000000               0.000000000               
-9.807     0.000000000               0.000000000               0.000000000               0.000000000               
-9.797     0.000000000               0.000000000               0.000000000               0.000000000               
-9.787     0.000000000               0.000000000               0.000000000               0.000000000               
-9.777     0.000000000               0.000000000               0.000000000               0.000000000               
-9.767     0.000000000               0.000000000               0.000000000               0.000000000               
-9.757     0.000000468               0.000000468               0.000000000               0.000000000               
-9.747     0.000016756               0.000016770               0.000000027               0.000000027               
-9.737     0.000230694               0.000231137               0.000000886               0.000000886               
-9.727     0.001366421               0.001371820               0.000010798               0.000010798               
-9.717     0.003871032               0.003895229               0.000048394               0.000048394               
-9.707     0.005724358               0.005764252               0.000079802               0.000079802               
-9.697     0.005241923               0.005266121               0.000048851               0.000048851               
-9.687     0.004509671               0.004515070               0.000016654               0.000016654               
-9.677     0.004579714               0.004580157               0.000030966               0.000030966               
-9.667     0.004946747               0.004946760               0.000070887               0.000070887               
-9.657     0.005502599               0.005502599               0.000105856               0.000105856               
-9.647     0.006242619               0.006242619               0.000159676               0.000159676               
-9.637     0.007115517               0.007115517               0.000240781               0.000240781               
-9.627     0.008496489               0.008496489               0.000299543               0.000299543               
-9.617     0.011369049               0.011369049               0.000353364               0.000353364               
-9.607     0.014567134               0.014567134               0.000410728               0.000410728               
-9.597     0.015477929               0.015477943               0.000430066               0.000430066               
-9.587     0.015862273               0.015862717               0.000465545               0.000465545               
-9.577     0.017614124               0.017619523               0.000547737               0.000547737               
-9.567     0.020693779               0.020717990               0.000642234               0.000642234               
-9.557     0.027323646               0.027363997               0.000838473               0.000838473               
-9.547     0.042690211               0.042720263               0.001290988               0.001290988               
-9.537     0.059260884               0.059296336               0.001800353               0.001800353               
-9.527     0.062955449               0.063025866               0.002012106               0.002012106               
-9.517     0.065231030               0.065326114               0.002183451               0.002183451               
-9.507     0.076490508               0.076603236               0.002583123               0.002583150               
-9.497     0.129661082               0.129860176               0.004279395               0.004280268               
-9.487     0.531431311               0.532093689               0.016927096               0.016937438               
-9.477     1.966914236               1.968889662               0.061962685               0.062005237               
-9.467     3.212412913               3.214797744               0.100913477               0.100963670               
-9.457     2.127196351               2.127494779               0.066733650               0.066717953               
-9.447     0.668081419               0.667249120               0.020963787               0.020910494               
-9.437     0.187890756               0.187414592               0.005972420               0.005943710               
-9.427     0.098108250               0.097886995               0.003191077               0.003185261               
-9.417     0.069478990               0.069316740               0.002305825               0.002305368               
-9.407     0.047868874               0.047769223               0.001655964               0.001655951               
-9.397     0.026998003               0.026962108               0.000982761               0.000982761               
-9.387     0.009781442               0.009775129               0.000368105               0.000368105               
-9.377     0.001758858               0.001758388               0.000067219               0.000067219               
-9.367     0.000132678               0.000132665               0.000005103               0.000005103               
-9.357     0.000003814               0.000003814               0.000000147               0.000000147               
-9.347     0.000000000               0.000000000               0.000000000               0.000000000               
-9.337     0.000000000               0.000000000               0.000000000               0.000000000               
-9.327     0.000000000               0.000000000               0.000000000               0.000000000               
-9.317     0.000000000               0.000000000               0.000000000               0.000000000               
-9.307     0.000000000               0.000000000               0.000000000               0.000000000               
-9.297     0.000000000               0.000000000               0.000000000               0.000000000               
-9.287     0.000000000               0.000000000               0.000000000               0.000000000               
-9.277     0.000000000               0.000000000               0.000000000               0.000000000               
-9.267     0.000000000               0.000000000               0.000000000               0.000000000               
-9.257     0.000000000               0.000000000               0.000000000               0.000000000               
-9.247     0.000000000               0.000000000               0.000000000               0.000000000               
-9.237     0.000000000               0.000000000               0.000000000               0.000000000               
-9.227     0.000000000               0.000000000               0.000000000               0.000000000               
-9.217     0.000000000               0.000000000               0.000000000               0.000000000               
-9.207     0.000000000               0.000000000               0.000000000               0.000000000               
-9.197     0.000000000               0.000000000               0.000000000               0.000000000               
-9.187     0.000000000               0.000000000               0.000000000               0.000000000               
-9.177     0.000000000               0.000000000               0.000000000               0.000000000               
-9.167     0.000000000               0.000000000               0.000000000               0.000000000               
-9.157     0.000000000               0.000000000               0.000000000               0.000000000               
-9.147     0.000000000               0.000000000               0.000000000               0.000000000               
-9.137     0.000000000               0.000000000               0.000000000               0.000000000               
-9.127     0.000000000               0.000000000               0.000000000               0.000000000               
-9.117     0.000000000               0.000000000               0.000000000               0.000000000               
-9.107     0.000000000               0.000000000               0.000000000               0.000000000               
-9.097     0.000000000               0.000000000               0.000000000               0.000000000               
-9.087     0.000000000               0.000000000               0.000000000               0.000000000               
-9.077     0.000000000               0.000000000               0.000000000               0.000000000               
-9.067     0.000000000               0.000000000               0.000000000               0.000000000               
-9.057     0.000000000               0.000000000               0.000000000               0.000000000               
-9.047     0.000000000               0.000000000               0.000000000               0.000000000               
-9.037     0.000000000               0.000000000               0.000000000               0.000000000               
-9.027     0.000000000               0.000000000               0.000000000               0.000000000               
-9.017     0.000000000               0.000000000               0.000000000               0.000000000               
-9.007     0.000001713               0.000001700               0.000000120               0.000000120               
-8.997     0.000059137               0.000058694               0.000004163               0.000004163               
-8.987     0.000773082               0.000767682               0.000054514               0.000054514               
-8.977     0.004145347               0.004121150               0.000293455               0.000293455               
-8.967     0.010450148               0.010410253               0.000744323               0.000744323               
-8.957     0.015467385               0.015443188               0.001102407               0.001102407               
-8.947     0.017598245               0.017592846               0.001225805               0.001225805               
-8.937     0.018344535               0.018344092               0.001232079               0.001232079               
-8.927     0.017498976               0.017498962               0.001164038               0.001164038               
-8.917     0.015391781               0.015391781               0.001059662               0.001059662               
-8.907     0.013131355               0.013131355               0.000982115               0.000982115               
-8.897     0.011434515               0.011434515               0.000931449               0.000931449               
-8.887     0.010675761               0.010675761               0.000912208               0.000912208               
-8.877     0.010580732               0.010580732               0.000936915               0.000936915               
-8.867     0.010782867               0.010782867               0.001009065               0.001009065               
-8.857     0.011291993               0.011291993               0.001135107               0.001135107               
-8.847     0.012723794               0.012723794               0.001372864               0.001372864               
-8.837     0.014689109               0.014689109               0.001663832               0.001663832               
-8.827     0.014553501               0.014553501               0.001698888               0.001698888               
-8.817     0.010421113               0.010421113               0.001245998               0.001245998               
-8.807     0.004299728               0.004299728               0.000522516               0.000522516               
-8.797     0.000819982               0.000819982               0.000100460               0.000100460               
-8.787     0.000063355               0.000063355               0.000007788               0.000007788               
-8.777     0.000001847               0.000001847               0.000000228               0.000000228               
-8.767     0.000000000               0.000000000               0.000000000               0.000000000               
-8.757     0.000000000               0.000000000               0.000000000               0.000000000               
-8.747     0.000000000               0.000000000               0.000000000               0.000000000               
-8.737     0.000000000               0.000000000               0.000000000               0.000000000               
-8.727     0.000000000               0.000000000               0.000000000               0.000000000               
-8.717     0.000000000               0.000000000               0.000000000               0.000000000               
-8.707     0.000000000               0.000000000               0.000000000               0.000000000               
-8.697     0.000000000               0.000000000               0.000000000               0.000000000               
-8.687     0.000000000               0.000000000               0.000000000               0.000000000               
-8.677     0.000000000               0.000000000               0.000000000               0.000000000               
-8.667     0.000000000               0.000000000               0.000000000               0.000000000               
-8.657     0.000000000               0.000000000               0.000000000               0.000000000               
-8.647     0.000000000               0.000000000               0.000000000               0.000000000               
-8.637     0.000000000               0.000000000               0.000000000               0.000000000               
-8.627     0.000000000               0.000000000               0.000000000               0.000000000               
-8.617     0.000000000               0.000000000               0.000000000               0.000000000               
-8.607     0.000000000               0.000000000               0.000000000               0.000000000               
-8.597     0.000000000               0.000000000               0.000000000               0.000000000               
-8.587     0.000000000               0.000000000               0.000000000               0.000000000               
-8.577     0.000000000               0.000000000               0.000000000               0.000000000               
-8.567     0.000000000               0.000000000               0.000000000               0.000000000               
-8.557     0.000000000               0.000000000               0.000000000               0.000000000               
-8.547     0.000000000               0.000000000               0.000000000               0.000000000               
-8.537     0.000000000               0.000000000               0.000000000               0.000000000               
-8.527     0.000000000               0.000000000               0.000000000               0.000000000               
-8.517     0.000000000               0.000000000               0.000000000               0.000000000               
-8.507     0.000000000               0.000000000               0.000000000               0.000000000               
-8.497     0.000121920               0.000121826               0.000002730               0.000002730               
